symbol,sector,total_assets,total_liabilities,total_equity,net_revenue,nonhalal_revenue_percent,net_income,operating_cash_flow,interest_expense,debt_to_equity,debt_to_assets,roe,roa,profit_margin,interest_coverage,cash_flow_to_debt,f_riba,f_nonhalal,riba_intensity,sector_encoded
AALI,Other,29069180000000.0,7762131500000.0,21307048500000.0,21425788750000.0,0.0,1396739750000.0,0.0,342666750000.0,0.36429876714271336,0.2670227195951176,0.06555294366556683,0.048048818370521634,0.06518965375312029,4.076087773324958,0.0,0.2670227195951176,0.0,0.015993191849238222,13
ABBA,Other,351576163989.25,355379295693.0,-3803131703.75,174598510958.0,0.0,-33224704761.0,0.0,4546170928.5,-93.44385716187175,1.0108173764131128,8.736143617703155,-0.09450215391170802,-0.1902920281433114,-7.3082832307764445,0.0,1.0108173764131128,0.0,0.026037856242620477,13
ABMM,Other,1500801949.25,1027030323.5,473771625.75,1141699769.25,0.0,167813730.75,0.0,64998722.25,2.1677750791304713,0.6843210218465094,0.35420806487585743,0.11181603997373599,0.14698586727422913,2.5818004560847223,0.0,0.6843210218465094,0.0,0.056931536644435066,13
ACES,Other,7347596880227.0,1586855742914.25,5760741137312.75,7082699745154.0,0.0,712954083449.5,0.0,70677789124.75,0.2754603453080138,0.21596935280766585,0.12376082633389708,0.0970322807676234,0.10066134512299563,10.087385192413114,0.0,0.21596935280766585,0.0,0.009978933410682546,13
ACST,Other,2563406250000.0,1936702000000.0,626704250000.0,1521402000000.0,0.0,-684453000000.0,0.0,61151250000.0,3.0902965792875987,0.7555189506150264,-1.0921467342849518,-0.2670091796803569,-0.4498830683803492,-11.19278837309131,0.0,0.7555189506150264,0.0,0.04019401183908001,13
ADCP,Other,5904930066387.5,3629382439338.75,2275547627048.75,696388923370.5,0.0,121199111555.5,0.0,9854406051.25,1.594949011920196,0.6146359734212945,0.053261513894432545,0.020525071456036197,0.1740394016735651,12.298976815566288,0.0,0.6146359734212945,0.0,0.014150721989595974,13
ADES,Other,1498415750000.0,314673500000.0,1183742250000.0,1106219000000.0,0.0,290579250000.0,0.0,246000000.0,0.2658294066972772,0.21000413269815135,0.24547510237131437,0.19392431639883656,0.26267786939114224,1181.216463414586,0.0,0.21000413269815135,0.0,0.00022237911299661278,13
ADHI,Other,39618168574475.75,32299393200881.75,7318775373594.0,13995039446711.5,0.0,93605046228.0,0.0,738708494210.25,4.413223736503423,0.8152671959119997,0.012789714323754926,0.0023626797905117107,0.0066884446152808055,0.1267144576807293,0.0,0.8152671959119997,0.0,0.05278359500328732,13
ADMF,Other,27205740000000.0,17680394750000.0,9525345250000.0,7165593500000.0,0.0,1447122750000.0,0.0,752547000000.0,1.8561421435091814,0.6498773696286151,0.151923390913311,0.05319181724150859,0.20195434614034413,1.9229666054080343,0.0,0.6498773696286151,0.0,0.10502228461606146,13
ADMR,Other,1200742296.25,682755473.5,517986822.75,644394663.0,0.0,225014428.5,0.0,20438393.75,1.3180942902663575,0.5686111629716769,0.43440183923094916,0.18739610422880373,0.3491872937811661,11.009398842797513,0.0,0.5686111629716769,0.0,0.03171719898307054,13
