symbol,sector,sector_compliant,financial_compliant,shariah_compliant,debt_to_assets_ok,interest_income_ok,interest_bearing_debt_ok,profitability_ok,equity_ok,debt_to_assets_value,interest_income_value,interest_bearing_debt_value,roa_value,equity_ratio_value
AALI,Agriculture,1,0,0,True,True,False,True,True,0.1666641181484995,0.0033664221579707,1.0,0.0480488183705216,0.7329772804048824
ABBA,Other,1,1,1,True,True,True,True,True,0.293703214653674,0.0067257357611857,0.9456109033133464,-0.094502153911708,-0.0108173764131128
ABMM,Other,1,1,1,True,True,True,True,True,0.4646739360569897,0.002818312516708,0.8858465877720325,0.1118160399737367,0.315678978153486
ACES,Manufacturing,1,0,0,True,True,,True,True,0.1106135117590502,0.0081755811576466,,0.0970322807676234,0.7840306471923342
ACST,Other,1,0,0,True,True,False,False,True,0.1169784344561069,0.031926473082065,0.995264508071596,-0.2670091796803569,0.2444810493849736
ADCP,Other,1,0,0,True,True,False,True,True,0.1417568706584355,0.0019332892060285,0.9977966367622316,0.0205250714560361,0.3853640265787055
ADES,Other,1,1,1,True,True,True,True,True,0.0025870657058963,0.010982228654543,0.0,0.1939243163988365,0.7899958673018487
ADHI,Chemicals,1,0,0,True,True,False,True,True,0.2702906518678457,0.0034092013094654,0.9986619392697716,0.0023626797905117,0.1847328040880003
ADMF,Other,1,0,0,True,True,False,True,True,0.5050804811778691,0.0067523715935044,0.9873056633633076,0.0531918172415085,0.3501226303713848
ADMR,Other,1,0,0,True,True,False,True,True,0.4265610265413351,0.0103655995052833,0.9987926619135225,0.1873961042288053,0.4313888370283184
ADRO,Oil & Gas,1,1,1,True,True,True,True,True,0.1742390028026727,0.0121665358790382,0.9339539743056854,0.1480526648103312,0.6344089687799516
AGII,Other,1,1,1,True,True,True,True,True,0.4808465741194098,0.0220381947981392,0.938320229511596,0.0171438705153444,0.457005271680277
AISA,Food & Beverage,1,0,0,True,False,True,True,True,0.1335590294440801,0.1110163510499791,0.6797007700858532,0.1567040671611487,0.4603885203727207
AKPI,Other,1,0,0,True,True,False,True,True,0.3139888867218876,0.0001843181607904,1.0,0.0293867328928699,0.4798202044431259
AKRA,Retail,1,1,1,True,True,True,True,True,0.1487366169856215,0.0025016260201163,0.9192324147584244,0.0724671117216682,0.4923309092245152
ALDO,Other,1,0,0,True,True,False,True,True,0.2639972852654004,0.0002911922011513,0.9775361302140916,0.0354514552338477,0.5230082578758355
ALMI,Other,1,0,0,True,True,False,False,True,0.3172041747962404,0.0057497145574456,1.0,-0.1004443945529913,0.2273361514086029
AMAN,Other,1,0,0,True,True,False,True,True,0.1327980665944674,0.0195733371700874,0.991203465021047,0.0388994136244317,0.6927814640511427
AMFG,Other,1,0,0,True,True,False,True,True,0.362247796632219,0.0003339789593255,0.9837068607361882,0.0299466737077817,0.4676238547816838
AMMN,Other,1,0,0,True,,False,True,True,0.3412459981005222,,1.0,0.0684335913092768,0.5045298745564472
AMOR,Other,1,0,0,True,True,,True,True,0.0384740648584721,0.018635538694835,,0.2631426042543874,0.807696797488512
AMRT,Retail,1,1,1,True,True,True,True,True,0.107057599848266,0.0008022533153062,0.5724068930077697,0.078137625080702,0.373858963338179
ANDI,Other,1,0,0,True,True,False,True,True,0.3940514955972174,0.0024135319121525,0.9850863295782571,-0.0448583318043346,0.5163972270074296
ANJT,Other,1,0,0,True,True,False,True,True,0.2626205815762878,0.0019368743263511,0.9930998204987675,0.0255434927326624,0.6683829270446875
ANTM,Mining,1,0,0,True,True,False,True,True,0.1493745739296609,0.002782806538164,0.9720262969069492,0.0702147480597323,0.671376831538722
APEX,Other,1,0,0,True,True,False,True,True,0.4320991250781028,0.0029537435800949,0.967546776592086,-0.0147591082801524,0.3205854134881574
APIC,Other,1,0,0,True,True,False,True,True,0.1862764003884396,0.0519966310695942,1.0783736702813531,0.0187746060256146,0.3597880388609611
APLN,Real Estate,1,0,0,True,True,False,True,True,0.3080817030420082,0.0071261313610121,0.9998899587744684,0.0195851420875612,0.4088658909298487
ARCI,Other,1,0,0,True,True,False,True,True,0.5046618332021443,0.0012666268144916,1.0,0.0809686915359743,0.2978360325822602
ARGO,Other,1,0,0,False,True,False,True,False,0.9128764550294082,0.0005013251557896,1.0,-0.0529989198752473,-0.8479039723645156
ARII,Other,1,0,0,True,True,False,True,True,0.2363367271188992,0.002716001017404,0.9897686226191036,0.0040755894107328,0.1222108490596438
ARKO,Other,1,0,0,True,False,False,True,True,0.5471840502486176,0.2493489916739961,0.9998037805297046,0.035193114172026,0.3367333473448199
